GEOID,heatrisk_class,Tree Canopy Class
06037185320,2,1
06037197200,2,1
06037197200,2,1
06037197200,2,1
06037199300,3,3
06037199300,3,2
06037185310,2,1
06037185310,2,1
06037197410,0,4
06037197410,0,3
06037197410,0,3
06037185202,3,3
06037185202,3,2
06037185202,3,4
06037185203,2,1
06037185203,2,1
06037185203,2,2
06037187102,3,0
06037187102,3,2
06037201200,2,1
06037480803,3,2
06037201120,3,2
06037201120,3,1
06037201120,3,2
06037480804,3,1
06037201110,2,1
06037201110,2,2
06037201110,2,1
06037201302,3,3
06037201302,3,3
06037201302,3,3
06037201302,3,3
06037183702,2,3
06037183702,2,3
06037195710,1,1
06037195710,1,1
06037195710,1,1
06037195802,0,1
06037195802,0,1
06037192620,1,0
06037192620,1,0
06037195804,0,1
06037195804,0,2
06037192700,1,1
06037192700,1,1
06037195903,0,1
06037195903,0,2
06037195600,1,2
06037195600,1,2
06037195600,1,1
06037195600,1,2
06037192610,1,1
06037192610,1,0
06037192610,1,1
06037195803,0,3
06037195803,0,2
06037197420,0,2
06037197420,0,2
06037191820,0,0
06037191820,0,0
06037191820,0,0
06037191710,0,0
06037191710,0,1
06037191610,1,2
06037191610,1,1
06037191620,0,0
06037191720,1,1
06037191720,1,1
06037191810,0,0
06037191810,0,0
06037191810,0,0
06037191901,0,0
06037191901,0,0
06037191120,1,0
06037191120,1,0
06037191204,0,1
06037190802,0,0
06037190802,0,1
06037190802,0,0
06037191420,0,0
06037191420,0,1
06037195902,0,3
06037195902,0,3
06037191500,1,1
06037191500,1,0
06037191500,1,0
06037195901,0,3
06037191410,1,0
06037191410,1,0
06037195500,1,3
06037195500,1,2
06037195500,1,3
06037195500,1,3
06037195400,0,3
06037195400,0,3
06037195400,0,3
06037195400,0,2
06037191301,0,1
06037191301,0,0
06037191203,0,0
06037191203,0,0
06037191302,0,1
06037191302,0,0
06037700502,0,2
06037700300,1,1
06037700300,1,2
06037700300,1,1
06037700600,0,4
06037700600,0,4
06037700200,1,2
06037700200,1,2
06037700200,1,2
06037700200,1,2
06037194300,0,4
06037194300,0,4
06037194300,0,4
06037194200,0,4
06037194200,0,4
06037190801,0,1
06037190801,0,1
06037190902,1,0
06037190902,1,1
06037190902,1,1
06037190901,1,0
06037190901,1,1
06037190901,1,0
06037191110,1,1
06037191110,1,0
06037189904,0,0
06037190510,1,1
06037190510,1,1
06037190520,1,1
06037190520,1,0
06037189905,0,3
06037189905,0,1
06037191000,1,0
06037191000,1,0
06037191000,1,0
06037189903,0,1
06037190202,0,1
06037190202,0,1
06037190201,0,0
06037190201,0,1
06037190402,0,0
06037191201,1,1
06037191201,1,1
06037195300,0,2
06037195300,0,2
06037195300,0,1
06037195100,1,3
06037195100,1,2
06037195100,1,3
06037195100,1,3
06037187300,0,3
06037187300,0,2
06037195202,0,3
06037195202,0,3
06037195202,0,2
06037189201,0,1
06037189201,0,1
06037189101,0,2
06037189101,0,1
06037189101,0,2
06037195201,0,3
06037195201,0,2
06037189202,0,4
06037189202,0,3
06037189202,0,2
06037188201,0,3
06037188201,0,2
06037188201,0,3
06037194101,0,4
06037194102,0,4
06037194102,0,4
06037194102,0,4
06037143700,2,4
06037143700,2,4
06037143901,2,3
06037143901,2,4
06037143902,2,4
06037143902,2,3
06037190401,0,1
06037190401,0,0
06037189300,0,3
06037189300,0,4
06037189300,0,4
06037189600,0,4
06037189600,0,3
06037189600,0,3
06037189702,0,4
06037189400,0,4
06037189400,0,4
06037189400,0,4
06037980009,0,4
06037143603,1,3
06037143602,3,3
06037143602,3,3
06037143602,3,2
06037143500,3,3
06037143500,3,3
06037143500,3,2
06037143500,3,3
06037143200,3,3
06037143200,3,2
06037143200,3,2
06037187200,2,1
06037187200,2,1
06037185204,1,3
06037185204,1,3
06037183820,3,2
06037183820,3,1
06037186404,2,2
06037186404,2,2
06037183810,4,1
06037183810,4,1
06037183520,3,2
06037183520,3,2
06037186403,2,1
06037186403,2,1
06037186302,3,3
06037186302,3,3
